FIPS,county,state,population
17113,Livingston, Illinois,"35,648"
17115,Logan, Illinois,"28,618"
17117,McDonough, Illinois,"29,682"
17119,McHenry, Illinois,"307,774"
17121,McLean, Illinois,"171,517"
17123,Macon, Illinois,"104,009"
17125,Macoupin, Illinois,"44,926"
17127,Madison, Illinois,"262,966"
17129,Marion, Illinois,"37,205"
17131,Marshall, Illinois,"11,438"
17133,Mason, Illinois,"13,359"
17135,Massac, Illinois,"13,772"
17137,Menard, Illinois,"12,196"
17139,Mercer, Illinois,"15,437"
17141,Monroe, Illinois,"34,637"
17143,Montgomery, Illinois,"28,414"
17145,Morgan, Illinois,"33,658"
17147,Moultrie, Illinois,"14,501"
17149,Ogle, Illinois,"50,643"
17151,Peoria, Illinois,"179,179"
17153,Perry, Illinois,"20,916"
17155,Piatt, Illinois,"16,344"
17157,Pike, Illinois,"15,561"
17159,Pope, Illinois,"4,177"
17161,Pulaski, Illinois,"5,335"
17163,Putnam, Illinois,"5,739"
17165,Randolph, Illinois,"31,782"
17167,Richland, Illinois,"15,513"
17169,Rock Island, Illinois,"141,879"
17171,St Clair, Illinois,"259,686"
17173,Saline, Illinois,"23,491"
17175,Sangamon, Illinois,"194,672"
17177,Schuyler, Illinois,"6,768"
17179,Scott, Illinois,"4,951"
17181,Shelby, Illinois,"21,634"
17183,Stark, Illinois,"5,342"
17185,Stephenson, Illinois,"44,498"
17187,Tazewell, Illinois,"131,803"
17189,Union, Illinois,"16,653"
17191,Vermilion, Illinois,"75,758"
17193,Wabash, Illinois,"11,520"
17195,Warren, Illinois,"16,844"
17197,Washington, Illinois,"13,887"
17199,Wayne, Illinois,"16,215"
17201,White, Illinois,"13,537"
17203,Whiteside, Illinois,"55,175"
18001,Will, Illinois,"690,743"
18003,Williamson, Illinois,"66,597"
18005,Winnebago, Illinois,"282,572"
18007,Woodford, Illinois,"38,459"
18009,Adams, Indiana,"35,777"
18011,Allen, Indiana,"379,299"
18013,Bartholomew, Indiana,"83,779"
18015,Benton, Indiana,"8,748"
18017,Blackford, Indiana,"11,758"
18019,Boone, Indiana,"67,843"
18021,Brown, Indiana,"15,092"
18023,Carroll, Indiana,"20,257"
18025,Cass, Indiana,"37,689"
18027,Clark, Indiana,"118,302"
18029,Clay, Indiana,"26,225"
18031,Clinton, Indiana,"32,399"
18033,Crawford, Indiana,"10,577"
18035,Daviess, Indiana,"33,351"
18037,Dearborn, Indiana,"49,458"
18039,Decatur, Indiana,"26,559"
18041,DeKalb, Indiana,"43,475"
18043,Delaware, Indiana,"114,135"
18045,Dubois, Indiana,"42,736"
18047,Elkhart, Indiana,"206,341"
18049,Fayette, Indiana,"23,102"
18051,Floyd, Indiana,"78,522"
18053,Fountain, Indiana,"16,346"
18055,Franklin, Indiana,"22,758"
18057,Fulton, Indiana,"19,974"
18059,Gibson, Indiana,"33,659"
18061,Grant, Indiana,"65,769"
18063,Greene, Indiana,"31,922"
18065,Hamilton, Indiana,"338,011"
18067,Hancock, Indiana,"78,168"
18069,Harrison, Indiana,"40,515"
18071,Hendricks, Indiana,"170,311"
18073,Henry, Indiana,"47,972"
